ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
98|Atokad Agriculture & Racing Association|April|1996-05-10|1996-05-30|$200.00|PAID||||
99|Auto Body Supply|October|1996-11-12|1996-11-14|$20.00|PAID||||
100|Avant Architects, Inc.|January|1997-02-10|1997-04-22|$300.00|REDUCED|$0.00|1997-05-08||
101|Awards Unlimited, Inc.|February|1998-03-10|1998-03-17|$70.00|REDUCED|$0.00|1998-04-14||
102|Ayars & Ayars, Inc.|May|1997-06-10|1997-07-18|$300.00|REDUCED|$0.00|1997-08-01||
103|Alyward Farms, Inc.|September|1996-10-10|1996-10-28|$180.00|REDUCED|$0.00|1996-12-01||
104|Ash Grove Cement Company|May|1998-06-10|1998-07-09|$290.00|PAID||1998-07-17||
105|B Street Body, Inc.|October|1996-11-12|1996-11-18|$60.00|PAID|$0.00|||
106|B & W Co., Inc.|March|1997-04-10|1997-06-11|$300.00|REDUCED|$10.00|1997-07-03||
107|B & W Co., Inc.|October|1996-11-12|1997-04-10|$300.00|REDUCED|$0.00|1997-04-24||
108|B & W Co., Inc.|February|1997-03-10|1997-04-10|$300.00|REDUCED|$0.00|1997-04-24||
109|B H I Development Company|April|1996-05-10|1996-07-19|$300.00|REDUCED|$0.00|1996-08-06||
110|Alan Baer & Associates|September|1997-10-10|1998-04-23|$300.00|REDUCED|$0.00|1998-05-05||
111|Baker Corporation|April|1998-05-11|1998-06-08|$280.00|PAID|$10.00|1998-06-30||
112|Baker Corporation|February|1998-03-10|1998-04-14|$300.00|REDUCED|$0.00|1998-05-20||
113|Bank of Norfolk|November|1997-12-10|1997-01-23|$300.00|REDUCED|$0.00|1997-02-07||
114|Bank of St. Edward|September|1996-10-10|1996-11-14|$300.00|REDUCED|$0.00|1997-01-09||
115|Barnhart Press|November|1997-12-10|1998-02-17|$300.00|REDUCED|$0.00|1998-03-06||
116|Barnhart Press|February|1997-03-10|1998-02-11|$300.00|REDUCED|$0.00|1998-02-26||
117|Barnhart Press|December|1997-01-12|1998-02-11|$300.00|REDUCED|$0.00|1998-02-26||
118|Barnhart Press|October|1996-11-12|1997-03-13|$300.00|REDUCED|$0.00|1997-04-02||
119|Bass & Associates, Inc.|October|1996-11-12|1997-02-25|$300.00|REDUCED|$0.00|1997-04-04||
120|Baxter Chrysler Plymouth|September|1996-10-10|1996-11-01|$220.00|REDUCED|$0.00|1996-11-26||
121|Beardmore Chevrolet, Inc.|September|1996-10-10|1996-10-21|$110.00|PAID||||
122|Beatrice Education Association|April|1996-05-10|1996-10-09|$300.00|REDUCED|$0.00|1996-10-23||
123|Beatrice Safe Deposit Co.|October|1997-11-10|1997-11-17|$70.00|PAID||||
124|Beckenhauer Construction, Inc.|April|1996-05-10|1996-05-16|$60.00|REDUCED|$0.00|1996-06-17||
125|Behlen Manufacturing Co.|September|1996-10-10|1997-04-16|$300.00|REDUCED|$0.00|1997-05-09||
126|Bekins Van & Storage Company|October|1996-11-12|1996-11-20|$80.00|REDUCED|$0.00|1997-01-09||
127|Bellaire Oil Company|December|1998-01-12|1998-03-02|$300.00|REDUCED|$0.00|1998-03-24||
128|Benchmark Homes|March|1998-04-10|1998-06-17|$300.00|PAID|$10.00|1998-07-02||
129|The Benefit Group, Inc.|December|1998-01-12|1998-02-03|$220.00|REDUCED|$0.00|1998-02-24||
130|Benchmark Homes, Inc.|January|1997-02-10|1997-02-18|$80.00|REDUCED|$0.00|1997-04-03||
131|Benefit Professionals, Inc.|October|1996-11-12|1996-12-23|$300.00|REDUCED|$0.00|1997-01-23||
132|Benson Chiropractic Clinic, PC|November|1997-12-10|1997-12-12|$20.00|REDUCED|$0.00|1997-12-22||
133|Benson Tranfer & Storage Co.|March|1997-04-10|1997-04-24|$140.00|REDUCED|$0.00|1997-05-08||
134|Better Business Equipment Co.|January|1998-02-10|1998-06-12|$300.00|REDUCED|$0.00|1998-07-01||
135|Biegert, Inc.|October|1997-11-10|1998-02-13|$300.00|PAID||||
136|Biegert, Inc.|December|1998-01-12|1998-02-13|$300.00|REDUCED|$0.00|1998-03-06||
137|Birchwood Homes|April|1996-05-10|1996-07-19|$300.00|REDUCED|$0.00|1996-08-06||
138|Vince Bird Construction Co., Inc.|May|1997-06-10|1997-08-18|$300.00|PAID|$10.00|1997-09-04||
139|Vince Bird Construction Co., Inc.|April|1997-05-12|1997-06-16|$300.00|REDUCED|$0.00|1997-06-27||
140|Blue Cross & Blue Shield of NE|January|1996-07-10|1996-10-18|$300.00|PAID|$0.00|||
141|Blue Cross & Blue Shield of NE|January|1996-05-10|1996-09-26|$300.00|REDUCED|$0.00|1996-10-04||
142|Blum's Auto Repair, Inc.|October|1997-11-10|1998-03-04|$300.00|REDUCED|$0.00|1998-03-16||
143|Blum's Auto Repair, Inc.|November|1997-12-10|1998-03-04|$300.00|REDUCED|$0.00|1998-03-16||
144|Bob's Kwik Shop Foods Co. d/b/a Bob's Super Store|August|1996-09-10|1996-10-23|$300.00|REDUCED|$0.00|1996-11-08||
145|Bonn's Inc d/b/a Ashley Lynn's|April|1996-05-10|1997-02-27|$300.00|REDUCED|$0.00|1997-03-13||
146|Bonn's Inc. d/b/a Ashley Lynn's|May|1996-06-10|1997-02-27|$300.00|REDUCED|$0.00|1997-03-13||
147|Boyle & Associates, PC|February|1998-03-10|1998-03-23|$130.00|PAID|$10.00|1998-04-21||
148|Boyle & Associates, PC|October|1997-11-10|1998-03-03|$300.00|REDUCED|$0.00|1998-03-24||
149|Boyle Hess & Elliot, CPA's, PC|April|1996-05-10|1997-04-22|$300.00|REDUCED|$0.00|1997-05-30||
150|Bozell Worldwide|April|1998-05-11|1998-06-02|$220.00|PAID||||
151|Bozell Worldwide|September|1996-10-10|1996-10-22|$120.00|PAID||||
152|Max Brager Company, Inc.|January|1997-02-10|1997-02-12|$20.00|REDUCED|$0.00|1997-03-19||
153|Brass Lantern, Inc.|October|1996-11-12|1997-01-16|$300.00|REDUCED|$0.00|1997-01-28||
154|Brehm Group, Inc. d/b/a Russwood Chrylser Plymouth|October|1996-11-12|1997-04-07|$300.00|REDUCED|$0.00|1997-04-29||
155|Brenmar Marketing Co., Inc.|June|1997-07-10|1997-08-15|$300.00|REDUCED|$0.00|1997-08-26||
156|Brester Construction, Inc.|February|1997-03-10|1997-05-08|$300.00|REDUCED|$0.00|1997-06-03||
157|Brighton Construction Co., Inc.|March|1998-04-10|1998-04-22|$120.00|REDUCED|$0.00|1998-05-05||
158|Briwax Nebraska|October|1996-11-12|1996-11-22|$100.00|PAID||||
159|Bronco's Holding Company|December|1998-01-12|1998-01-22|$100.00|REDUCED|$0.00|1998-02-04||
160|Bronco's Holding Company|June|1996-05-10|1996-06-05|$260.00|REDUCED|$0.00|1996-08-05||
161|Brown Transfer Company|October|1996-11-12|1996-11-18|$60.00|REDUCED|$0.00|1996-12-09||
162|The Broyhill Manufacturing Company|August|1996-09-10|1996-10-28|$300.00|REDUCED|$0.00|1996-12-01||
163|The Bruckner/Ballew Law Firm|October|1996-11-12|1996-11-14|$20.00|PAID||||
164|Buckley Steel, Inc.|April|1998-05-11|1998-05-13|$20.00|PAID||||
165|Buffalo County Farm Bureau|October|1996-11-12|1996-11-27|$150.00|REDUCED|$0.00|1997-01-23||
166|Bunker Hill Farms, Inc.|February|1998-03-10|1998-05-04|$300.00|REDUCED|$0.00|1998-05-19||
167|Bunker Hill Farms, Inc.|March|1998-04-10|1998-05-04|$240.00|REDUCED|$0.00|1998-05-19||
168|Burt County State Bank|October|1996-11-12|1996-11-15|$30.00|REDUCED|$0.00|1997-01-09||
169|Butler Holdings, Inc.|December|1998-01-12|1998-01-22|$100.00|PAID||||
170|Butler Holdings, Inc.|May|1997-06-10|1997-08-25|$300.00|PAID||||
171|Butler Holdings, Inc.|December|1997-01-10|1997-09-04|$300.00|PAID||||
172|Butler Holdings, Inc.|February|1997-03-10|1997-09-04|$300.00|PAID||||
173|Butler Holdings, Inc.|January|1997-02-10|1997-09-07|$300.00|PAID||||
174|Butler Holdings, Inc.|April|1996-05-10|1997-04-23|$300.00|REDUCED|$0.00|1997-06-23||
175|Butler Holdings, Inc.|June|1996-07-10|1997-04-23|$300.00|REDUCED|$0.00|1997-06-23||
176|Butler Holdings, Inc.|July|1996-08-12|1997-04-23|$300.00|REDUCED|$0.00|1997-06-23||
177|Butler Holdings, Inc.|September|1996-10-10|1997-04-23|$300.00|REDUCED|$0.00|1997-06-23||
178|Butler Holdings, Inc.|October|1996-11-11|1997-04-23|$300.00|PAID|$40.00|1997-06-23||
179|Butler Holdings, Inc.|November|1996-12-10|1997-02-14|$300.00|REDUCED|$0.00|1997-03-14||
180|Butler Holdings, Inc.|September|1996-10-10|1997-02-27|$300.00|REDUCED|$0.00|1997-03-14||
181|CalEnergy Company|December|1996-01-16|1996-04-23|$300.00|PAID||||
182|CalEnergy Company, Inc.|September|1996-10-10|1996-11-18|$300.00|REDUCED|$0.00|1997-04-08||
183|CalEnergy Company, Inc.|October|1996-11-12|1996-11-18|$60.00|REDUCED|$0.00|1997-02-26||
184|Campbell's Nurseries & Garden Centers, Inc.|January|1998-02-10|1998-04-08|$300.00|REDUCED|$0.00|1998-04-27||
185|Cannon Brothers Ford Company|October|1996-11-12|1996-11-20|$80.00|REDUCED|$0.00|1997-02-10||
186|Bryce Carlson Insurance Agency, Inc.|February|1998-03-10|1998-04-02|$230.00|REDUCED|$0.00|1998-04-14||
187|CBS Real Estate Company|November|1996-11-12|1997-03-20|$300.00|REDUCED|$0.00|1997-04-08||
188|Can Cor, Inc.|February|1997-03-10|1997-04-16|$300.00|REDUCED|$0.00|1997-05-09||
189|Cedar Valley Feeding Co.|March|1998-04-10|1998-04-22|$120.00|REDUCED|$0.00|1998-05-05||
190|Celebrity Homes, Inc.|February|1997-03-10|1997-05-19|$300.00|PAID|$10.00|1997-06-17||
191|Celebrity Homes, Inc.|January|1997-02-10|1997-04-14|$40.00|REDUCED|$0.00|1997-03-21||
192|Center for Rural Affairs|May|1998-06-10|1998-06-18|$80.00|PAID||||
193|Center for Rural Affairs|October|1996-11-12|1996-11-18|$60.00|PAID||||
194|Center for Rural Affairs|April|1996-05-10|1996-05-31|$210.00|REDUCED|$0.00|1996-06-19||
195|Central Operating Inc.|December|1998-01-12|1998-03-02|$300.00|REDUCED|$0.00|1998-03-30||
196|Centurion International|December|1998-01-12|1998-02-13|$300.00|REDUCED|$0.00|1998-03-02||
197|Chatham Park Bldg. d/b/a Southmanor Apartments|September|1997-10-10|1997-10-31|$210.00|REDUCED|$0.00|1997-12-02||
198|Larry Chilese Architects, Inc.|July|1997-08-11|1998-02-10|$300.00|REDUCED|$0.00|1998-03-02||
199|Larry Chilese Architects, Inc.|October|1997-11-10|1998-02-10|$300.00|REDUCED|$0.00|1998-03-02||
200|Choice Enterprises|March|1997-04-10|1997-08-11|$300.00|REDUCED|$0.00|1997-08-26||
201|Christensen Associates, PC|October|1996-11-12|1997-01-27|$300.00|REDUCED|$0.00|1997-03-17||
202|Christiansen Construction Co.|November|1997-12-10|1998-01-30|$300.00|REDUCED|$0.00|1998-02-18||
203|Cibola Energy Services Corporation|October|1996-11-12|1997-02-18|$300.00|PAID||||
204|Cizek Homes, Inc.|January|1997-02-10|1997-02-18|$80.00|REDUCED|$0.00|1997-03-25||
205|Clarendon National Insurance Company|June|1996-07-10|1996-10-11|$300.00|PAID||||
206|Cleary & Associates|April|1996-05-10|1997-04-22|$300.00|REDUCED|$0.00|1997-05-08||
207|Cleary & Associates|August|1996-09-10|1997-04-22|$300.00|REDUCED|$0.00|1997-05-08||
208|Cody Keno|April|1996-05-10|1996-05-16|$60.00|PAID||||
209|The Commercial Bank|October|1996-11-12|1997-02-14|$300.00|REDUCED|$0.00|1997-03-12||
210|Commercial Federal Corporation|May|1996-06-10|1996-06-17|$70.00|PAID||||
211|Commercial Flooring Systems, Inc.|March|1997-04-10|1997-05-01|$210.00|REDUCED|$0.00|1997-05-14||
212|Commonwealth Electrice Co. of the Midwest|February|1997-03-10|1998-02-17|$300.00|REDUCED|$0.00|1998-03-02||
213|Complete Floors, Inc.|October|1996-11-12|1997-01-15|$300.00|REDUCED|$0.00|1997-01-28||
214|Consolidated Business Systems, Inc.|July|1997-08-11|1997-09-19|$300.00|REDUCED|$0.00|1997-10-14||
215|Consolidated Sign Services|March|1997-04-10|1997-04-24|$140.00|REDUCED|$0.00|1997-05-08||
216|Continental Elevator Co., Inc.|April|1997-05-12|1997-05-20|$80.00|REDUCED|$0.00|1997-06-09||
217|Contractors Electrical, Inc.|March|1997-04-10|1997-05-15|$300.00|REDUCED|$0.00|1997-06-03||
218|Carol Copple Design, Inc.|March|1998-04-10|1998-04-22|$120.00|REDUCED|$0.00|1998-06-09||
219|Coral Production Corp.|December|1998-01-12|1998-03-02|$300.00|REDUCED|$0.00|1998-03-27||
220|Cornhusker Bank|April|1998-04-10|1998-04-22|$120.00|REDUCED|$0.00|1998-05-05||
221|Cos, Inc. d/b/a Pat & Mike's Bar & Grill|March|1997-04-10|1997-05-22|$300.00|REDUCED|$0.00|1997-06-03||
222|Courtesy Ford Lincoln Mercury Sales, Inc.|November|1996-12-10|1997-02-07|$300.00|REDUCED|$0.00|1997-02-24||
223|Crafts, Inc.|October|1997-11-10|1997-11-19|$90.00|REDUCED|$0.00|1997-12-09||
224|Credit Bureau of North Platte|April|1997-05-12|1997-05-27|$150.00|PAID||||
225|Croker, Huck, Kasher, Dewitt, Anderson & Gonderinger|November|1997-12-10|1997-12-12|$20.00|PAID||||
226|Croker, Huck, Kasher, Dewitt, Anderson & Gonderinger|April|1996-05-10|1996-06-07|$280.00|REDUCED|$0.00|1996-07-12||
227|Crookston Grain & Fertilizer|February|1998-03-10|1998-04-03|$240.00|REDUCED|$0.00|1998-04-14||
228|Crossroads Ford, Inc.|September|1996-10-10|1997-02-18|$300.00|REDUCED|$0.00|1997-02-19||
229|Cubby, Inc.|February|1997-03-10|1997-05-05|$300.00|REDUCED|$0.00|1997-06-11||
230|Cubby, Inc.|March|1997-04-10|1997-05-05|$250.00|REDUCED|$0.00|1997-06-11||
231|DLLV, Inc. d/b/a Vollers & Son|October|1996-11-12|1996-11-21|$90.00|REDUCED|$0.00|1997-01-03||
232|DLR Group Services|March|1998-04-10|1998-04-27|$170.00|PAID||||
233|D M Cox, Inc.|February|1998-03-10|1998-04-13|$300.00|REDUCED|$0.00|1998-05-20||
234|The Daily Record|May|1998-06-10|1998-06-23|$130.00|PAID||||
235|The Daily Record|March|1997-04-10|1997-08-14|$300.00|REDUCED|$0.00|1997-08-26||
236|The Daily Record|May|1997-06-10|1997-08-14|$300.00|REDUCED|$0.00|1997-08-26||
237|Dakota Title & Escrow Co|May|1997-06-10|1998-03-30|$300.00|REDUCED|$0.00|1999-04-14||
238|Dale Electronics, Inc.|October|1996-11-12|1996-11-19|$70.00|PAID||||
239|Leo A. Daly Company|March|1997-04-10|1997-04-30|$300.00|REDUCED|$0.00|1997-05-21||
240|Dana Larson Roubal and Associates|January|1997-02-10|1997-02-24|$140.00|PAID||||
241|Data Security, Inc.|March|1997-04-10|1998-02-20|$300.00|REDUCED|$0.00|1998-03-02||
242|Data Security, Inc.|May|1997-06-10|1998-02-20|$300.00|REDUCED|$0.00|1998-03-02||
243|Data Security, Inc.|June|1997-07-10|1998-02-20|$300.00|REDUCED|$0.00|1998-03-02||
244|Ann W. Davis, PC|November|1997-12-10|1998-02-04|$300.00|REDUCED|$0.00|1998-02-25||
245|Ann W. Davis, PC|October|1997-11-10|1998-02-04|$300.00|REDUCED|$0.00|1998-02-25||
246|Davis Design, Inc.|October|1997-11-10|1998-02-23|$300.00|PAID|$10.00|1998-03-16||
247|Davis Design, Inc.|April|1997-05-12|1997-06-16|$300.00|REDUCED|$0.00|1997-06-27||
248|Davis Design, Inc.|May|1997-06-10|1997-06-16|$60.00|REDUCED|$0.00|1997-06-27||
249|Dawson County Farm Bureau|October|1996-11-12|1996-11-18|$60.00|REDUCED|$0.00|1997-01-09||
250|The Day Companies, Inc.|October|1996-11-12|1997-01-09|$300.00|REDUCED|$0.00|1997-01-20||
251|Dayton Hudson Corporation|November|1996-12-10|1997-01-21|$300.00|REDUCED|$0.00|1997-02-07||
252|Delta Uniform|March|1998-04-10|1998-04-13|$30.00|REDUCED|$0.00|1998-05-20||
253|Dental Professionals PC|February|1997-03-10|1997-05-08|$300.00|REDUCED|$0.00|1997-06-03||
254|Denton Daily Double Keno|April|1996-05-10|1996-05-16|$60.00|PAID||||
255|Detector Dogs International, Inc.|March|1997-04-10|1997-06-20|$300.00|REDUCED|$0.00|1997-06-27||
256|Diamond D Sales, Inc.|March|1997-04-10|1997-08-01|$300.00|REDUCED|$0.00|||
257|Dimatic Die and Tool Co.|May|1996-06-10|1996-07-25|$300.00|REDUCED|$0.00|1996-08-05||
258|Richard J. Dinsmore, PC|April|1996-05-10|1996-10-24|$300.00|REDUCED|$0.00|1996-11-06||
259|Richard J. Dinsmore, PC|May|1996-06-10|1996-10-24|$300.00|REDUCED|$0.00|1996-11-06||
260|Distilled Spirits Council of the U.S.|October|1996-11-12|1996-11-26|$140.00|PAID||||
261|N P Dodge Company|March|1997-04-10|1997-07-10|$300.00|PAID||||
262|N P Dodge Company|August|1996-09-10|1996-10-23|$300.00|REDUCED|$0.00|1996-11-25||
859|Sherman County Bank|September|1996-10-10|1996-10-22|$120.00|REDUCED|$0.00|1996-11-25||
860|Sherwood Homes, Inc.|March|1997-04-10|1997-06-26|$300.00|REDUCED|$0.00|1997-08-01||
861|E. Terry Sibbernsen|September|1997-10-10|1998-02-18|$300.00|PAID|$10.00|1998-03-06||
862|E. Terry Sibbernsen|October|1996-11-12|1997-01-13|$300.00|REDUCED|$0.00|1997-01-28||
863|Siebert Cattle Company|April|1996-05-10|1996-06-18|$300.00|REDUCED|$0.00|1996-06-19||
864|Siegler's Catering Service|March|1998-04-10|1998-04-27|$170.00|REDUCED|$0.00|1998-05-17||
865|Sigerson Insurance Agency|June|1997-07-10|1997-08-08|$290.00|REDUCED|$0.00|1997-08-15||
866|Silverhawk Aviation, Inc.|November|1997-12-10|1998-04-07|$300.00|REDUCED|$0.00|1998-04-27||
867|Silverhawk Investigations|December|1997-01-10|1997-10-31|$300.00|REDUCED|$0.00|1997-11-13||
868|Silverhawk Investigations|August|1997-09-10|2019-11-03|$300.00|REDUCED|$0.00|1997-11-13||
869|Simmonds Restaurant Management|July|1996-08-12|1997-04-28|$300.00|REDUCED|$0.00|1997-05-09||
870|Simmonds Restaurant Management|October|1996-11-12|1997-04-14|$300.00|REDUCED|$0.00|1997-05-09||
871|Sixth Street Food Stores, Inc.|March|1997-04-10|1997-07-21|$300.00|REDUCED|$0.00|1997-08-08||
872|Slosburg Company|April|1997-05-12|1997-08-06|$300.00|REDUCED|$0.00|1997-08-19||
873|Slosburg Company|June|1997-07-10|1997-08-06|$270.00|REDUCED|$0.00|1997-08-19||
874|Small Enterprises, Inc.|May|1997-06-10|1997-07-18|$300.00|REDUCED|$0.00|1997-08-01||
875|Small Enterprises, Inc.|June|1997-07-10|1997-07-18|$80.00|REDUCED|$0.00|1997-08-01||
876|Smeal Fire Aparatus Co.|October|1996-11-12|1996-11-20|$80.00|PAID||||
877|HP Smith Motors, Inc.|January|1997-02-10|1997-06-09|$300.00|PAID||||
878|Smith Barney, Inc.|May|1997-06-10|1997-06-19|$90.00|REDUCED|$0.00|1997-07-28||
879|Snell Services, Inc.|April|1997-05-12|1997-07-24|$300.00|REDUCED|$0.00|1997-08-08||
880|Sodoro, Daly & Sodoro, PC|May|1996-06-10|1996-09-04|$300.00|REDUCED|$0.00|1996-09-13||
881|Southroad Toyota|September|1996-10-10|1996-10-22|$120.00|REDUCED|$0.00|1996-11-26||
882|Spady-Runcie Chevrolet, Olds, Cadalliac, Inc.|November|1996-12-10|1997-02-18|$300.00|REDUCED|$0.00|1997-03-13||
883|Speedway Motors, Inc.|June|1997-07-10|1998-02-11|$300.00|REDUCED|$0.00|1998-03-02||
884|Speedway Motors, Inc.|December|1997-01-12|1998-02-11|$300.00|REDUCED|$0.00|1998-03-02||
885|Speece-Lewis, Inc.|April|1998-05-11|1998-05-13|$20.00|PAID||||
886|Spelts Lumber Co. of Burwell|April|1998-05-11|1998-06-10|$300.00|REDUCED|$0.00|1998-06-23||
887|Spence Title Services, Inc.|January|1998-02-10|1998-02-26|$160.00|REDUCED|$0.00|1998-03-10||
888|Snyder & Dortch, Inc.|September|1997-10-10|1997-10-21|$110.00|REDUCED|$0.00|1997-11-19||
889|Standard Beauty Supply, Inc.|March|1997-04-10|1997-04-16|$60.00|REDUCED|$0.00|1997-05-21||
890|State Title Services, Inc.|March|1997-04-10|1997-06-18|$300.00|REDUCED|$0.00|1997-08-08||
891|State Title Services, Inc.|April|1997-05-12|1997-06-18|$300.00|REDUCED|$0.00|1997-08-08||
892|Stanton Telecom, Inc.|March|1998-04-10|1998-07-16|$300.00|REDUCED|$0.00|1998-07-28||
893|Steamfitters Local Union 464 COPE Fund|May|1997-06-10|1997-06-24|$140.00|PAID||||
894|Steamfitters Local Union 464 COPE Fund|April|1996-05-10|1996-05-22|$120.00|REDUCED|$0.00|1996-06-20||
895|Steier Pharmacy, Inc.|August|1996-09-10|1996-12-03|$300.00|REDUCED|$0.00|1997-01-13||
896|Gene Steffy Chrysler|October|1996-11-12|1997-02-19|$300.00|REDUCED|$0.00|1997-03-12||
897|Stonybrook Dental, PC|December|1998-01-12|1998-04-02|$300.00|REDUCED|$0.00|1998-04-10||
898|Sup's Feed Service, Inc.|April|1996-05-10|1996-05-16|$60.00|REDUCED|$0.00|1996-06-18||
899|Swain Construction, Inc.|February|1997-03-10|1997-04-15|$300.00|REDUCED|$0.00|1997-05-09||
900|Swain Construction, Inc.|March|1997-04-10|1997-04-15|$50.00|REDUCED|$0.00|1997-05-09||
901|Sweet-Holland, PC|April|1996-05-10|1996-06-10|$300.00|REDUCED|$0.00|1996-07-16||
902|TMCO, Inc.|October|1997-11-10|1998-02-10|$300.00|REDUCED|$0.00|1998-03-02||
903|TMS Design Services, Inc.|February|1997-03-10|1997-04-21|$300.00|REDUCED|$0.00|1997-05-21||
904|Tackett Homes|April|1998-05-11|1998-06-17|$300.00|REDUCED|$0.00|1998-07-01||
905|Talmar Enterprises d/b/a Lexus of Omaha|September|1996-10-10|1996-10-22|$120.00|REDUCED|$0.00|1996-11-08||
906|Tax Credits, Inc. d/b/a CFO Services|October|1996-11-12|1996-11-20|$80.00|REDUCED|$0.00|1997-01-22||
907|Tekamah Motors|October|1996-11-12|1997-01-15|$300.00|REDUCED|$0.00|1997-01-28||
908|Telephone Management Services, Co.|December|1998-01-12|1998-03-03|$300.00|REDUCED|$0.00|1998-05-05||
909|Tenaska, Inc.|May|1997-06-10|1997-08-08|$300.00|REDUCED|$0.00|1997-08-19||
910|Tenaska, Inc.|June|1997-07-10|1997-07-15|$50.00|REDUCED|$0.00|1997-08-01||
911|Thermo King Corporation|October|1996-11-12|1997-03-07|$300.00|REDUCED|$0.00|1997-04-04||
912|Thiele Geotech, Inc.|January|1996-11-12|1997-03-13|$300.00|REDUCED|$0.00|1997-04-20||
913|Thomas, Watts and Hershberger, PC|June|1997-07-10|1998-02-23|$300.00|REDUCED|$0.00|1998-03-11||
914|Thomas, Watts and Hershberger, PC|September|1997-10-10|1998-02-23|$300.00|REDUCED|$0.00|1998-03-11||
915|Thompson, Dreesen & Dorner, Inc.|October|1997-11-10|1998-04-07|$300.00|REDUCED|$0.00|1998-04-27||
916|Thompson, Dreessen & Dorner, Inc.|February|1998-03-10|1998-04-07|$280.00|REDUCED|$0.00|1998-04-27||
917|Thompson Plumbing Co., Inc.|October|1996-11-12|1996-12-02|$200.00|PAID||||
918|Thoroughbred Racing Association of Nebraska|June|1996-07-10|1996-08-12|$300.00|PAID||||
919|Thorpe's Body Shop|April|1996-05-10|1996-07-25|$300.00|REDUCED|$0.00|1996-08-05||
920|Thorpe's Body Shop|May|1996-06-10|1996-07-25|$300.00|REDUCED|$0.00|1996-08-05||
921|Tincher Chevrolet Oldsmobile|October|1996-11-12|1997-02-21|$300.00|REDUCED|$0.00|1997-03-12||
922|Tires, Inc.|May|1998-06-10|1998-07-15|$300.00|REDUCED|$0.00|1998-07-28||
923|Tobacco Hut, Inc.|February|1997-03-10|1997-06-11|$300.00|REDUCED|$0.00|1997-06-26||
924|Tomlinson Advertising|September|1996-10-10|1996-12-10|$300.00|REDUCED|$0.00|1996-12-17||
925|Town & Country Auto|March|1998-05-10|1998-05-01|$210.00|REDUCED|$0.00|1998-05-12||
926|The Training and Consulting Connection|April|1997-05-12|1997-08-18|$300.00|REDUCED|$0.00|1997-08-28||
927|Transwood, Inc.|October|1997-11-10|1998-03-05|$300.00|REDUCED|$0.00|1998-03-17||
